index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:25,000","00:00:25,350",speaker_0,Welcome,Welcome
2,"00:00:52,780","00:00:54,299",speaker_0,to all the distinguished guests on the dias.,to all the distinguished guests on the dias.
3,"00:00:54,500","00:00:54,850",speaker_0,ఆపత్కాలంలో,aapathkaalamlo
4,"00:00:55,640","00:00:56,230",speaker_0,ధైర్య సాహసాల్ని,dhairya saahasaalni
5,"00:00:56,399","00:00:56,750",speaker_0,ప్రదర్శించి,pradharshinchi
6,"00:00:57,320","00:00:58,770",speaker_0,తమ ప్రాణాల్ని పణంగా పెట్టి,thama praanaalni panangaa petti
7,"00:00:59,039","00:01:02,090",speaker_0,ప్రజల ప్రాణాల్ని కాపాడిన Police officers కి కేంద్ర ప్రభుత్వం,prajala praanaalni kaapaadina Police officers ki kendhra prabhuthvam
8,"00:01:02,259","00:01:02,910",speaker_0,ఇచ్చే బిరుదుల్లో,ichhe birudhullo
9,"00:01:03,240","00:01:03,990",speaker_0,అత్యంత ప్రతిష్టాత్మకమైనది,athyantha prathishtaathmakamainadhi
10,"00:01:04,939","00:01:07,549",speaker_0,ఈ Bose Bravery Award. గతంలో తెలుగు రాష్ట్రాల్లో,ee Bose Bravery Award. gathamlo thelugu raashtraallo
11,"00:01:07,930","00:01:10,530",speaker_0,ఒక పోలీస్ ఆఫీసర్ కి ఈ award వచ్చింది. 1987,oka police officer ki ee award vachhindhi. 1987
12,"00:01:11,359","00:01:11,709",speaker_0,లో.,lo.
13,"00:01:12,019","00:01:12,909",speaker_0,ఇంత కాలం తర్వాత,intha kaalam tharvaatha
14,"00:01:13,140","00:01:13,739",speaker_0,ACP ధన్య,ACP dhanya
15,"00:01:14,159","00:01:14,729",speaker_0,కి ఈ award,ki ee award
16,"00:01:14,980","00:01:16,339",speaker_0,కేంద్ర ప్రభుత్వం ఇవ్వడం అనేది,kendhra prabhuthvam ivvadam anedhi
17,"00:01:16,540","00:01:17,149",speaker_0,చాలా గర్వకారణం.,chaalaa garvakaaranam.
18,"00:01:17,560","00:01:18,209",speaker_0,Standing ovation,Standing ovation
19,"00:01:18,540","00:01:20,209",speaker_0,for officer ధన్య. Ladies and gentlemen.,for officer dhanya. Ladies and gentlemen.
20,"00:01:20,939","00:01:23,149",speaker_1,ACP ధన్య లాంటి పోలీస్ ఆఫీసర్స్ పనిచేస్తున్న,ACP dhanya laanti police officers panichesthunna
21,"00:01:23,379","00:01:23,729",speaker_1,department,department
22,"00:01:23,920","00:01:27,149",speaker_1,లో అర్జున్ సర్కార్ లాంటి criminals పని చేయడం అన్నది చాలా దురదృష్టకరం.,lo arjun sarkaar laanti criminals pani cheyadam annadhi chaalaa dhuradhrushtakaram.
23,"00:01:27,840","00:01:28,629",speaker_1,Officer ధన్యకి,Officer dhanyaki
24,"00:01:28,920","00:01:32,000",speaker_1,Bose Bravery Award ఇస్తున్న రోజే అర్జున్ సర్కార్ case hearing,Bose Bravery Award isthunna roje arjun sarkaar case hearing
25,"00:01:32,060","00:01:32,500",speaker_1,కి వచ్చింది.,ki vachhindhi.
26,"00:01:42,890","00:01:43,689",speaker_1,Investigating officer,Investigating officer
27,"00:01:43,739","00:01:44,469",speaker_1,బలమైన ఆధారాలను,balamaina aadhaaraalanu
28,"00:01:44,640","00:01:45,329",speaker_1,present చేస్తే,present chesthe
29,"00:01:45,579","00:01:46,789",speaker_1,ఈరోజే తీర్పించే అవకాశాలైతే,eeroje theerpinche avakaashaalaithe
30,"00:01:47,140","00:01:48,349",speaker_1,ఉన్నట్టుగా వార్తలు వినిపిస్తున్నాయి.,unnattugaa vaarthalu vinipisthunnaayi.
31,"00:01:48,819","00:01:48,919",speaker_3,ఏయ్,yey
32,"00:01:49,480","00:01:51,200",speaker_3,"ఇన్ని సంవత్సరాలు service లో ఉన్న ఒక పోలీస్ అధికారి,","inni samvathsaraalu service lo unna oka police adhikaari,"
33,"00:01:51,540","00:01:51,650",speaker_3,"ఏయ్,","yey,"
34,"00:01:52,150","00:01:54,159",speaker_3,ఇలాంటి నేరం చేయడమంటే అనేది ఎవరికీ అంతుపడడం లేదు.,ilaanti neram cheyadamante anedhi yevarikee anthupadadam ledhu.
35,"00:01:54,730","00:01:55,350",speaker_3,ఏయ్ SP,yey SP
36,"00:01:55,400","00:01:56,390",speaker_3,అర్జున్ సర్కార్ అనేది ముజికేనా?,arjun sarkaar anedhi mujikenaa?
37,"00:01:56,540","00:01:58,019",speaker_3,ఈ ముజుకి వెనుకాల దాగున్న అసలు వ్యక్తి ఎవరు?,ee mujuki venukaala dhaagunna asalu vyakti yevaru?
38,"00:02:15,719","00:02:16,439",speaker_4,Good morning Lordship.,Good morning Lordship.
39,"00:02:16,900","00:02:19,310",speaker_4,Generally ఒక మామూలు మనిషి ఇలాంటి heinous crime చేసినట్లయితే,Generally oka maamoolu manishi ilaanti heinous crime chesinatlayithe
40,"00:02:19,900","00:02:20,889",speaker_4,severe sentence ఇస్తుంటారు.,severe sentence isthuntaaru.
41,"00:02:21,199","00:02:21,549",speaker_4,అలాంటిది,alaantidhi
42,"00:02:21,939","00:02:23,590",speaker_4,ఒక పోలీస్ ఆఫీసర్ అయి ఉండి ఇలా చేయటం,oka police officer ayi undi ilaa cheyatam
43,"00:02:23,780","00:02:24,129",speaker_4,unacceptable.,unacceptable.
44,"00:02:25,240","00:02:27,269",speaker_4,We have a request Lordship ఆధారాలు సేకరించడానికి,We have a request Lordship aadhaaraalu sekarinchadaaniki
45,"00:02:27,840","00:02:29,109",speaker_4,మాకు ఇంకో two weeks time కావాలి.,maaku inko two weeks time kaavaali.
46,"00:02:29,300","00:02:29,650",speaker_4,అలానే,alaane
47,"00:02:30,110","00:02:33,509",speaker_4,currently accused ని remand లో పెట్టిన location లో security problem,currently accused ni remand lo pettina location lo security problem
48,"00:02:33,560","00:02:33,919",speaker_4,వస్తుంది.,vasthundhi.
49,"00:02:34,719","00:02:36,229",speaker_4,Central prison కి transfer చేస్తే,Central prison ki transfer chesthe
50,"00:02:36,580","00:02:36,930",speaker_4,investigation,investigation
51,"00:02:37,199","00:02:37,949",speaker_4,smooth గా చేసుకోవచ్చు.,smooth gaa chesukovachhu.
52,"00:02:39,740","00:02:41,280",speaker_5,పాపకి తొమ్మిది నెలలు సార్.,paapaki thommidhi nelalu saar.
53,"00:02:43,620","00:02:44,949",speaker_5,ఏం చేస్తారు సార్ తీసుకెళ్ళి?,yem chesthaaru saar theesukelli?
54,"00:02:50,759","00:02:52,680",speaker_5,"హైట్ ఒక 5'9"", 5'10"" ఉంటాడు.","hait oka 5'9"", 5'10"" untaadu."
55,"00:02:55,550","00:02:56,349",speaker_5,అక్కడక్కడ తెల్ల,akkadakkada thella
56,"00:02:56,400","00:02:56,680",speaker_5,గెట్టం.,gettam.
57,"00:03:00,659","00:03:01,009",speaker_5,చామంచాయ.,chaamanchaaya.
58,"00:03:18,919","00:03:19,169",speaker_6,ఏయ్.,yey.
59,"00:03:22,810","00:03:23,460",speaker_6,చంపేస్తారా ఏంటి?,champesthaaraa yenti?
60,"00:03:24,000","00:03:24,180",speaker_6,ఆ.,aa.
61,"00:03:26,139","00:03:26,539",speaker_6,పదండి.,padhandi.
62,"00:03:36,950","00:03:37,549",speaker_6,ఇక్కడున్న సగం,ikkadunna sagam
63,"00:03:37,599","00:03:38,879",speaker_6,మంది నువ్వు low place నోడ్లే.,mandhi nuvvu low place nodle.
64,"00:03:41,340","00:03:41,439",speaker_6,హ్మ్,hma్
65,"00:03:43,080","00:03:43,759",speaker_6,ఆసరం పడతది.,aasaram padathadhi.
66,"00:03:52,120","00:03:52,219",speaker_6,హ్మ్,hma్
67,"00:03:53,379","00:03:54,030",speaker_6,సరే గాని,sare gaani
68,"00:03:54,539","00:03:55,539",speaker_6,నువ్వేమో police నోడ్వి.,nuvvemo police nodvi.
69,"00:03:56,800","00:03:57,150",speaker_6,ఇక్కడెలా?,ikkadelaa?
70,"00:04:27,660","00:04:28,199",speaker_6,Start చేద్దామా?,Start chedhdhaamaa?
71,"00:04:44,480","00:04:44,990",speaker_6,ఏయ్. ఏయ్.,yey. yey.
72,"00:04:51,019","00:04:52,660",speaker_3,You are in queue. Please wait.,You are in queue. Please wait.
73,"00:04:53,519","00:04:54,540",speaker_3,మీరు queue లో ఉన్నారు.,meeru queue lo unnaaru.
74,"00:04:54,939","00:04:55,290",speaker_3,దయచేసి,dhayachesi
75,"00:04:55,899","00:04:56,570",speaker_3,వేచి ఉండండి.,vechi undandi.
