index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,With,With
2,"00:00:50,700","00:00:53,970",speaker_0,ninety six percent in twelfth standard board exams let's welcome,ninety six percent in twelfth standard board exams let's welcome
3,"00:00:54,020","00:00:55,630",speaker_0,on stage our student D.Raghavan,on stage our student D.Raghavan
4,"00:00:56,100","00:00:58,590",speaker_0,to receive gold medal for securing center,to receive gold medal for securing center
5,"00:00:58,799","00:00:59,759",speaker_0,in Computer Science,in Computer Science
6,"00:01:17,620","00:01:18,290","speaker_1, speaker_0",Congratulations Thank,Congratulations Thank
7,"00:01:18,340","00:01:18,450",speaker_0,you,you
8,"00:01:18,640","00:01:21,269",speaker_1,"ఆ round junction ఉంది కదా, దాని పక్కనే మా ఇల్లు","aa round junction undhi kadhaa, dhaani pakkane maa illu"
9,"00:01:21,319","00:01:21,560",speaker_0,ఓ,o
10,"00:01:25,560","00:01:25,900",speaker_2,మామా,maamaa
11,"00:01:26,379","00:01:28,439",speaker_2,అక్షరం పొల్లు పోకుండా ఏం జరిగిందో అలాగే నాకు చెప్పు.,aksharam pollu pokundaa yem jarigindho alaage naaku cheppu.
12,"00:01:28,700","00:01:29,799",speaker_2,Okay నా all the best all the best,Okay naa all the best all the best
13,"00:01:29,980","00:01:30,280",speaker_1,సరే okay,sare okay
14,"00:01:30,329","00:01:31,719",speaker_0,Okay bye Monica I'll see you,Okay bye Monica I'll see you
15,"00:01:33,260","00:01:33,599",speaker_2,అంజనా,anjanaa
16,"00:01:34,530","00:01:35,319",speaker_0,హాయ్ Raghavan,haay Raghavan
17,"00:01:36,420","00:01:37,379",speaker_2,Computer Science లో gold medal,Computer Science lo gold medal
18,"00:01:37,739","00:01:38,089",speaker_0,ఊ,oo
19,"00:01:38,640","00:01:38,989",speaker_0,సూపర్,super
20,"00:01:40,040","00:01:41,829",speaker_2,AGS Engineering College లో seat దొరికింది,AGS Engineering College lo seat dhorikindhi
21,"00:01:42,099","00:01:42,449",speaker_0,వావ్,vaav
22,"00:01:43,299","00:01:44,469",speaker_2,US లో Masters చేద్దామనుకుంటున్నాను,US lo Masters chedhdhaamanukuntunnaanu
23,"00:01:46,010","00:01:47,000",speaker_0,చూపర్ రా,choopar raa
24,"00:01:47,099","00:01:48,109",speaker_2,అక్కడే ఉద్యోగం సంపాదించి,akkade udhyogam sampaadhinchi
25,"00:01:48,439","00:01:50,329",speaker_2,green card తీసుకుని పెళ్లి చేసుకొని settle అవ్వదామనుకుంటున్నాను,green card theesukuni pelli chesukoni settle avvadhaamanukuntunnaanu
26,"00:01:50,780","00:01:51,129",speaker_0,చూడ్రా!,choodraa!
27,"00:01:51,620","00:01:52,629",speaker_0,పెళ్ళయ్యాక నన్ను మర్చిపోవుగా,pellayyaaka nannu marchipovugaa
28,"00:01:53,260","00:01:53,609",speaker_2,మర్చిపోవడం,marchipovadam
29,"00:01:53,859","00:01:54,140",speaker_2,"ఏంటే,","yente,"
30,"00:01:54,540","00:01:55,489",speaker_2,నిన్నే పెళ్లి చేసుకుందామనుకుంటున్నాను,ninne pelli chesukundhaamanukuntunnaanu
31,"00:01:58,780","00:01:59,129",speaker_0,ఏమంటున్నావ్,yemantunnaav
32,"00:02:03,640","00:02:04,379",speaker_2,I love you అంజనా.,I love you anjanaa.
33,"00:02:05,750","00:02:06,359",speaker_2,ఇప్పటినుండి కాదు,ippatinundi kaadhu
34,"00:02:07,219","00:02:08,159",speaker_2,ninth standard నుంచి,ninth standard nunchi
35,"00:02:09,400","00:02:10,888",speaker_2,gold medal తీసుకుని నీకు propose చేద్దామనుకున్నాను.,gold medal theesukuni neeku propose chedhdhaamanukunnaanu.
36,"00:02:13,319","00:02:13,740",speaker_2,చేసేశాను,cheseshaanu
37,"00:02:17,139","00:02:17,979",speaker_0,ఊ see,oo see
38,"00:02:18,639","00:02:19,020",speaker_0,ఊ,oo
39,"00:02:20,020","00:02:21,699",speaker_0,Raghavan మనకిది set అవ్వదు,Raghavan manakidhi set avvadhu
40,"00:02:23,240","00:02:23,400",speaker_2,ఏ,ye
41,"00:02:24,300","00:02:25,039",speaker_2,నాకేం తక్కువ?,naakem thakkuva?
42,"00:02:25,979","00:02:26,509",speaker_2,నా looks ఆ,naa looks aa
43,"00:02:26,560","00:02:27,039",speaker_0,హే ఛీ ఛీ ఛీ,he chee chee chee
44,"00:02:28,000","00:02:28,479",speaker_0,అదేం లేదు.,adhem ledhu.
45,"00:02:29,729","00:02:30,310",speaker_0,ఊ సరే,oo sare
46,"00:02:30,379","00:02:30,639",speaker_0,వదిలేయ్,vadhiley
47,"00:02:31,240","00:02:32,159",speaker_2,లేదు నాకు తెలియాలి చెప్పు,ledhu naaku theliyaali cheppu
48,"00:02:35,759","00:02:36,460",speaker_0,Raghavan నువ్వు,Raghavan nuvvu
49,"00:02:37,120","00:02:37,949",speaker_0,చాలా మంచోడివి,chaalaa manchodivi
50,"00:02:38,560","00:02:38,860",speaker_0,but,but
51,"00:02:39,000","00:02:40,889",speaker_1,హే Rambo! నీకు ఎలాంటి అమ్మాయిలంటే ఇష్టం,he Rambo! neeku yelaanti ammaayilante ishtam
52,"00:02:40,979","00:02:42,099",speaker_0,నాకు Rambo అంటేనే ఇష్టం,naaku Rambo antene ishtam
53,"00:02:42,479","00:02:42,819",speaker_2,నాకా?,naakaa?
54,"00:02:43,280","00:02:44,419",speaker_2,నాకు blonde hairs ఏ ఇష్టం.,naaku blonde hairs ye ishtam.
55,"00:02:44,840","00:02:46,009",speaker_2,Actually గా మీరిద్దరూ blonde చేస్తా-,Actually gaa meeridhdharoo blonde chesthaa-
56,"00:02:46,139","00:02:46,419",speaker_1,బాదావా?,baadhaavaa?
57,"00:02:46,560","00:02:47,449",speaker_0,నిజంగానే చెప్తున్నావా?,nijangaane chepthunnaavaa?
58,"00:02:47,800","00:02:48,120",speaker_2,Yeah,Yeah
59,"00:02:48,520","00:02:48,800",speaker_1,అంజనా!,anjanaa!
60,"00:02:49,560","00:02:52,409",speaker_1,వాడు మూడు subjects లో fail. School అయిపోగానే దమ్ము కొడతాడు.,vaadu moodu subjects lo fail. School ayipogaane dhammu kodathaadu.
61,"00:02:52,979","00:02:54,329",speaker_1,మంచోడు కాదు అంజనా వాడు.,manchodu kaadhu anjanaa vaadu.
62,"00:02:55,139","00:02:55,489",speaker_2,ఓ,o
63,"00:02:56,139","00:02:56,509",speaker_2,సరే నువ్వు,sare nuvvu
64,"00:02:57,180","00:02:57,280",speaker_2,చెప్పు,cheppu
65,"00:02:57,259","00:02:57,609",speaker_0,Actually,Actually
66,"00:02:58,120","00:03:01,129",speaker_0,నాకు bad boys అంటేనే చాలా ఇష్టం. ఎందుకంటే అలాంటి boyfriend తో,naaku bad boys antene chaalaa ishtam. yendhukante alaanti boyfriend tho
67,"00:03:01,180","00:03:02,840",speaker_0,college కి వెళ్ళినప్పుడే ఓ పొగరు ఉంటుంది కదా.,college ki vellinappude o pogaru untundhi kadhaa.
68,"00:03:03,000","00:03:03,120",speaker_0,ఆ?,aa?
69,"00:03:05,120","00:03:08,539",speaker_0,ఊ I'm sorry Raghavan I'm sure you will have a successful future.,oo I'm sorry Raghavan I'm sure you will have a successful future.
70,"00:03:09,900","00:03:10,129",speaker_0,Bye,Bye
71,"00:03:18,219","00:03:19,060",speaker_2,సరే వదిలేయ్ మామ,sare vadhiley mama
72,"00:03:19,800","00:03:21,359",speaker_2,ఊళ్లో ఇంక అమ్మాయిలే లేరా ఏంటి?,oollo inka ammaayile leraa yenti?
73,"00:03:21,860","00:03:23,769",speaker_1,అదే college కి వెళ్తున్నాం గా అక్కడ చూసుకుందాం,adhe college ki velthunnaam gaa akkada choosukundhaam
74,"00:03:26,520","00:03:26,989",speaker_2,ఏ అభి,ye abhi
75,"00:03:27,939","00:03:28,769",speaker_2,చక్కగా చదువుకొని,chakkagaa chadhuvukoni
76,"00:03:29,340","00:03:30,310",speaker_2,మంచి అబ్బాయిలా ఉంటే,manchi abbaayilaa unte
77,"00:03:30,939","00:03:31,930",speaker_2,అమ్మాయిలకి బాగా నచ్చుతుందంటారే,ammaayilaki baagaa nachhuthundhantaare
78,"00:03:32,900","00:03:34,379",speaker_2,అదంతా పచ్చి అబద్ధం కదా,adhanthaa pachhi abadhdham kadhaa
79,"00:03:35,620","00:03:36,180",speaker_1,అవును మామ,avunu mama
80,"00:03:38,699","00:03:39,780",speaker_2,మనం కూడా bad boy గా మారుదాం రా,manam koodaa bad boy gaa maarudhaam raa
81,"00:03:40,520","00:03:41,580",speaker_1,ఊ సరే మారదాం,oo sare maaradhaam
82,"00:03:42,500","00:03:44,650",speaker_2,College లోకి పొగరుగా వెళ్దాం ఒక fire అయిన పేరుతో,College loki pogarugaa veldhaam oka fire ayina perutho
83,"00:03:47,520","00:03:48,089",speaker_1,D.Raghavan అనే,D.Raghavan ane
84,"00:03:48,139","00:03:49,199",speaker_1,పేరులో fire ఏం ఉందిరా,perulo fire yem undhiraa
85,"00:03:49,539","00:03:49,889",speaker_2,ఏరా,yeraa
86,"00:03:50,060","00:03:51,750",speaker_2,ఆ Ramesh ముప్పాళ్ళపల్లి Rambo అని తిరుగుతుంటే,aa Ramesh muppaallapalli Rambo ani thiruguthunte
87,"00:03:52,020","00:03:52,889",speaker_2,నాకొక పేరు ఉండదంటారా,naakoka peru undadhantaaraa
88,"00:03:54,280","00:03:54,629",speaker_1,ఊ,oo
89,"00:03:57,219","00:03:59,020",speaker_2,ఆ ఉండు ఉండు ఒక్క నిమిషం ఉండు ఒక్క నిమిషం ఉండు,aa undu undu okka nimisham undu okka nimisham undu
90,"00:04:05,390","00:04:06,139",speaker_2,D.Raghavan ఇది,D.Raghavan idhi
91,"00:04:06,199","00:04:07,159",speaker_2,నీ తొక్కలో పేరు,nee thokkalo peru
92,"00:04:07,759","00:04:09,189",speaker_2,తను ఎలా అయితే నిన్ను విసిరేసిందో,thanu yelaa ayithe ninnu visiresindho
93,"00:04:09,639","00:04:10,989",speaker_2,అలాగే ఈ మూడు అక్షరాలని,alaage ee moodu aksharaalani
94,"00:04:12,439","00:04:13,870",speaker_2,నీ పేరులో నుంచి తీసేసి,nee perulo nunchi theesesi
95,"00:04:14,240","00:04:15,210",speaker_2,అక్కడొక o పెట్టేవుంటే,akkadoka o pettevunte
96,"00:04:15,400","00:04:16,439",speaker_2,నీవయ్యే నువ్వు fire రా,neevayye nuvvu fire raa
97,"00:04:57,560","00:04:58,200",speaker_3,ఏంట్రా గో బంగారు,yentraa go bangaaru
98,"00:04:58,540","00:04:59,490",speaker_0,నాన్న నన్నెందుకు,naanna nannendhuku
99,"00:04:59,699","00:05:01,920",speaker_0,Masters Artificial Intelligence లో join చేశావ్?,Masters Artificial Intelligence lo join cheshaav?
100,"00:05:02,060","00:05:02,710",speaker_0,bore కొడుతుంది,bore koduthundhi
101,"00:05:03,060","00:05:04,010",speaker_3,అదేంటి బంగారు తల్లి,adhenti bangaaru tally
102,"00:05:04,560","00:05:05,310",speaker_3,life లో futuristic,life lo futuristic
103,"00:05:05,500","00:05:05,950",speaker_3,గా ఆలోచించాలి,gaa aalochinchaali
104,"00:05:06,120","00:05:06,339",speaker_3,కదా,kadhaa
105,"00:05:07,259","00:05:07,360",speaker_0,ఊ,oo
106,"00:05:07,319","00:05:09,199",speaker_3,Ten years down the line మొత్తం AI ఏ తల్లి,Ten years down the line moththam AI ye tally
107,"00:05:09,300","00:05:10,860",speaker_0,ఏదో ఒకటి చెప్తావ్. సరే,yedho okati chepthaav. sare
108,"00:05:11,319","00:05:13,519",speaker_0,weekend కి ఇంటికి వచ్చేయ్. కొత్త ఇంటికి paintings కొందాం,weekend ki intiki vachhey. koththa intiki paintings kondhaam
109,"00:05:14,120","00:05:14,939",speaker_3,Okay రా,Okay raa
110,"00:05:15,019","00:05:15,360",speaker_0,Okay రా bye,Okay raa bye
111,"00:05:15,410","00:05:15,879",speaker_3,Okay రా బంగారు తల్లి,Okay raa bangaaru tally
112,"00:05:24,399","00:05:24,620",speaker_0,Hi,Hi
113,"00:05:25,279","00:05:26,330",speaker_0,I'm Gayatri IT department,I'm Gayatri IT department
114,"00:05:29,959","00:05:30,079",speaker_2,Hi,Hi
115,"00:05:30,480","00:05:32,139",speaker_2,hi I'm Vijay IT department,hi I'm Vijay IT department
116,"00:05:33,289","00:05:33,629","speaker_0, speaker_2",Hi Hi,Hi Hi
117,"00:05:33,680","00:05:34,030",speaker_1,పట్టించుకోలేదు,pattinchukoledhu
118,"00:05:34,389","00:05:35,150",speaker_1,లే నేను చూశాను,le nenu chooshaanu
119,"00:05:35,420","00:05:38,519",speaker_0,Now I request our principal Mr. Mohan Babu sir to address the,Now I request our principal Mr. Mohan Babu sir to address the
120,"00:05:38,600","00:05:38,939",speaker_0,gathering,gathering
121,"00:05:44,319","00:05:45,839",speaker_3,AGS is a donation free college.,AGS is a donation free college.
122,"00:05:48,939","00:05:49,629",speaker_3,Twelfth లో,Twelfth lo
123,"00:05:50,139","00:05:50,889",speaker_3,కష్టపడి చదివి,kashtapadi chadhivi
124,"00:05:51,879","00:05:53,350",speaker_3,ninety five percent తెచ్చుకున్న వాళ్ళకే,ninety five percent thechhukunna vaallake
125,"00:05:53,620","00:05:54,399",speaker_3,ఈ college లో seat.,ee college lo seat.
126,"00:05:55,980","00:05:56,550",speaker_3,అలా కష్టపడి,alaa kashtapadi
