index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:31,839","00:00:31,940",speaker_0,రేయ్!,rey!
2,"00:00:32,000","00:00:32,410",speaker_1,ఆడ ఎవడ్రా?,aada yevadraa?
3,"00:00:32,460","00:00:32,890",speaker_0,DJ ready యా?,DJ ready yaa?
4,"00:00:32,939","00:00:33,890",speaker_1,"DJ దగ్గర ఉన్నాడు, పక్కకు జరుపు","DJ dhaggara unnaadu, pakkaku jarupu"
5,"00:00:33,939","00:00:35,079",speaker_0,ఆ పెళ్లి కొడుకు ఏ పాట కావాలో కనుక్కో,aa pelli koduku ye paata kaavaalo kanukko
6,"00:00:35,219","00:00:35,899",speaker_1,Psycho ఏంట్రా?,Psycho yentraa?
7,"00:00:36,439","00:00:38,240",speaker_1,ఓ! సాయి కాడు వేలు వెడ్స్ కోమలి యా,o! saayi kaadu velu veds komali yaa
8,"00:00:38,380","00:00:39,670",speaker_2,అబ్బాయికి బాగా ఆస్తి ఎక్కువున్నట్టుంది,abbaayiki baagaa aasthi yekkuvunnattundhi
9,"00:00:40,679","00:00:41,728",speaker_1,మెడలో chain చూస్తే తెలియట్లా?,medalo chain choosthe theliyatlaa?
10,"00:00:42,460","00:00:43,710",speaker_2,అక్క! కట్నం ఎంతిచ్చారంటావ్?,akka! katnam yenthichhaarantaav?
11,"00:00:44,460","00:00:45,210",speaker_1,ఎహే! ఎదురుకట్నం,yehe! yedhurukatnam
12,"00:00:45,409","00:00:45,759",speaker_1,అంట,anta
13,"00:00:46,000","00:00:46,350",speaker_2,ఆహా!,aahaa!
14,"00:00:47,020","00:00:49,350",speaker_0,ఏయ్! పాట పెట్టురా పాట పెట్టు. పెళ్లి కొడుకు dance చేస్తున్నాడు.,yey! paata petturaa paata pettu. pelli koduku dance chesthunnaadu.
15,"00:01:03,079","00:01:04,030",speaker_3,పెళ్లి కళ వచ్చేసిందే,pelli kala vachhesindhe
16,"00:01:04,640","00:01:05,079",speaker_3,బాల,baala
