index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:02:16,659","00:02:17,520",speaker_0,Hey madam వచ్చింది.,Hey madam vachhindhi.
2,"00:02:18,610","00:02:19,400",speaker_1,అరేయ్ madam,arey madam
3,"00:02:19,580","00:02:20,719",speaker_1,పల్లే ఉంది కదరా.,palle undhi kadharaa.
4,"00:02:21,139","00:02:22,030",speaker_2,అవురా జబ్బర్జేస్తుంది.,avuraa jabbarjesthundhi.
5,"00:02:33,620","00:02:35,210",speaker_1,ఏయ్ madam వచ్చింది madam వచ్చింది.,yey madam vachhindhi madam vachhindhi.
6,"00:02:49,259","00:02:50,269",speaker_0,Good morning class.,Good morning class.
7,"00:02:50,639","00:02:51,379",speaker_0,Good morning,Good morning
8,"00:02:51,780","00:02:52,129",speaker_0,ma'am.,ma'am.
9,"00:03:12,039","00:03:12,389",speaker_0,Hence,Hence
10,"00:03:13,120","00:03:13,469",speaker_0,Proved.,Proved.
11,"00:03:14,909","00:03:15,539",speaker_0,Any doubts,Any doubts
12,"00:03:15,599","00:03:16,020",speaker_0,anyone?,anyone?
13,"00:03:18,360","00:03:18,659",speaker_2,Ma'am.,Ma'am.
14,"00:03:20,120","00:03:20,300",speaker_0,Yeah,Yeah
15,"00:03:22,020","00:03:22,569",speaker_2,లక్ష్మి ma'am,laksha్mi ma'am
16,"00:03:23,080","00:03:23,650",speaker_2,మీరు చూడటానికి,meeru choodataaniki
17,"00:03:23,780","00:03:24,930",speaker_2,సినిమా హీరోయిన్ లా ఉన్నారు.,cinema heroine laa unnaaru.
18,"00:03:27,240","00:03:28,319",speaker_0,ఇది fantasy కదా,idhi fantasy kadhaa
19,"00:03:28,919","00:03:29,750",speaker_0,ఏమైనా జరగొచ్చు.,yemainaa jaragochhu.
20,"00:03:31,759","00:03:32,409",speaker_0,start చేద్దామా?,start chedhdhaamaa?
21,"00:03:34,719","00:03:36,109",speaker_2,అదిదా మా college హీరోయిన్లు,adhidhaa maa college heeroyinlu
22,"00:03:36,319","00:03:38,280",speaker_2,వచ్చి maths class అని చెప్తారు. ఉహు.,vachhi maths class ani chepthaaru. uhu.
23,"00:04:18,439","00:04:20,090",speaker_1,మాకు college లో నందక సకరం,maaku college lo nandhaka sakaram
24,"00:04:20,209","00:04:20,559",speaker_1,ఆపకపోతే,aapakapothe
25,"00:04:21,279","00:04:21,950",speaker_1,మా ఈ పోరాటం,maa ee poraatam
26,"00:04:22,110","00:04:22,460",speaker_1,ఆగదు.,aagadhu.
27,"00:04:23,079","00:04:23,430",speaker_1,మొక్కలు,mokkalu
28,"00:04:23,579","00:04:24,790",speaker_1,విత్తు కొంగు రెగ్రీటు.,viththu kongu regreetu.
29,"00:04:36,819","00:04:39,319",speaker_2,తు ఏంట్రా ఇల్లు తాగి గాలి దొబ్బుతున్నారు.,thu yentraa illu thaagi gaali dhobbuthunnaaru.
30,"00:04:39,389","00:04:39,579",speaker_1,అరే,are
31,"00:04:40,139","00:04:41,259",speaker_1,let them enjoy రా.,let them enjoy raa.
32,"00:04:41,779","00:04:43,620",speaker_1,ఏదో ఒకటి అందరూ తాగి పోవాల్సిందే కదా ఏంటి.,yedho okati andharoo thaagi povaalsindhe kadhaa yenti.
33,"00:05:11,459","00:05:12,139",speaker_2,మోమో కొత్త hit.,momo koththa hit.
34,"00:05:12,439","00:05:14,560",speaker_1,అది నీకు కొత్త రా మాకు కాదు. రేయ్ revive చెయ్ రా.,adhi neeku koththa raa maaku kaadhu. rey revive chey raa.
35,"00:05:14,759","00:05:15,870",speaker_2,ఆగు బే నువ్వు చేత వస్తా.,aagu be nuvvu cheetah vasthaa.
36,"00:05:15,920","00:05:16,589",speaker_1,వెనక మళ్ళా వెనక మళ్ళా-,venaka mallaa venaka mallaa-
37,"00:05:16,639","00:05:16,990",speaker_2,మీరేంట్రా,meerentraa
38,"00:05:17,199","00:05:17,890",speaker_2,ఆ రేటు చుట్టేవాడే,aa retu chuttevaade
39,"00:05:18,100","00:05:18,910",speaker_2,నాగార్జున dance వేస్తున్నాడు.,naagaarjuna dance vesthunnaadu.
40,"00:05:19,220","00:05:19,570",speaker_2,ఏయ్,yey
41,"00:05:19,980","00:05:22,939",speaker_2,line cross అయితే ఉప్పెనలో ఆసే అవుతావు. రేయ్ కిరణ్ అబ్బవరం కొత్త,line cross ayithe uppenalo aase avuthaavu. rey kiran abbavaram koththa
42,"00:05:23,000","00:05:23,469",speaker_2,trailer రా.,trailer raa.
43,"00:05:23,519","00:05:23,870",speaker_1,విన్నవాడివా?,vinnavaadivaa?
44,"00:05:24,279","00:05:25,199",speaker_2,Already five million views రా.,Already five million views raa.
45,"00:05:25,300","00:05:26,569",speaker_1,Trailer ఏ ఇలా ఉంటే ఇంక సినిమా ఎలా ఉంటుందో.,Trailer ye ilaa unte inka cinema yelaa untundho.
46,"00:05:26,620","00:05:28,620",speaker_2,Morning అంతా night out చేసి ఇప్పుడే పడుకున్నాను aunty.,Morning anthaa night out chesi ippude padukunnaanu aunty.
47,"00:05:29,000","00:05:30,439",speaker_2,ఈసారి పక్కా distinction aunty.,eesaari pakkaa distinction aunty.
48,"00:05:43,180","00:05:43,620",speaker_2,దొరికిందా?,dhorikindhaa?
49,"00:05:43,879","00:05:44,620",speaker_1,ఆగు బే ఎక్కుతున్నా.,aagu be yekkuthunnaa.
50,"00:06:07,774","00:06:08,694",speaker_3,బా కొట్టేసాడురా,baa kottesaaduraa
51,"00:06:08,744","00:06:09,913",speaker_3,సైరన్. పొద్దున పోదాం,siren. podhdhuna podhaam
52,"00:06:10,124","00:06:11,043",speaker_4,హే! మరి నా స్పీచ్,he! mari naa speech
53,"00:06:11,163","00:06:11,514",speaker_3,చదువుకోండి,chadhuvukondi
54,"00:06:11,684","00:06:11,843",speaker_3,first,first
55,"00:06:11,894","00:06:12,014",speaker_4,ఏయ్!,yey!
