index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:09,939","00:00:11,490",speaker_0,పొగ త్రాగుట మద్యం సేవించుట ఆరోగ్యానికి,poga thraaguta madhyam sevinchuta aarogyaaniki
2,"00:00:11,640","00:00:13,210",speaker_0,హానికరం మరియు క్యాన్సర్ కి కారకం,haanikaram mariyu kyaansar ki kaarakam
3,"00:00:21,100","00:00:21,450",speaker_1,ఫోనా,phonaa
4,"00:02:57,340","00:02:57,960",speaker_1,birthday కదా,birthday kadhaa
5,"00:02:58,460","00:02:59,599",speaker_1,wish చేయడానికి అయి ఉంటుంది.,wish cheyadaaniki ayi untundhi.
6,"00:03:01,819","00:03:02,199",speaker_1,Hello,Hello
7,"00:03:02,620","00:03:03,789",speaker_1,మా leader ని encounter చేపించి,maa leader ni encounter chepinchi
8,"00:03:04,400","00:03:05,090",speaker_1,ఎలా నిద్ర పోతున్నావు,yelaa nidhra pothunnaavu
9,"00:03:06,599","00:03:08,039",speaker_1,ఈరోజు meeting కి బయటికి వస్తున్నావు కదా,eeroju meeting ki bayatiki vasthunnaavu kadhaa
10,"00:03:09,000","00:03:09,729",speaker_1,పక్కా చంపేస్తా,pakkaa champesthaa
11,"00:03:10,639","00:03:10,989",speaker_1,ఆ,aa
12,"00:03:11,419","00:03:11,959",speaker_1,నీ birthday,nee birthday
13,"00:03:12,500","00:03:13,319",speaker_1,death day చేస్తాం.,death day chesthaam.
14,"00:03:16,219","00:03:16,960",speaker_2,ఇప్పుడు ఏం చేయాలి,ippudu yem cheyaali
15,"00:03:19,000","00:03:19,319",speaker_2,ఆ ప్రసాద్,aa prasaadh
16,"00:03:21,219","00:03:21,680",speaker_2,Oh my god,Oh my god
17,"00:03:22,080","00:03:22,719",speaker_2,ప్రసాద్ వచ్చాడా,prasaadh vachhaadaa
18,"00:03:23,199","00:03:23,919",speaker_3,ఇంకా రాలేదు sir,inkaa raaledhu sir
19,"00:03:24,219","00:03:26,210",speaker_1,ఆ భూయాన్ గాడు నాకు phone చేసి,aa bhooyaan gaadu naaku phone chesi
20,"00:03:26,400","00:03:26,750",speaker_1,చంపేస్తానని,champesthaanani
21,"00:03:27,240","00:03:27,590",speaker_1,బిదిరించాడు.,bidhirinchaadu.
22,"00:03:28,719","00:03:29,069",speaker_1,నేనేమో,nenemo
23,"00:03:29,240","00:03:31,129",speaker_1,alliance party leader రాజ్ పాల్ గాడితో,alliance party leader raj paul gaaditho
24,"00:03:31,439","00:03:32,650",speaker_1,secret meeting కి వెళ్ళాలి,secret meeting ki vellaali
25,"00:03:33,340","00:03:33,689",speaker_1,లేదంటే,ledhante
26,"00:03:34,060","00:03:35,150",speaker_1,పక్కా రాష్ట్రంలో government,pakkaa raashtramlo government
27,"00:03:35,340","00:03:35,689",speaker_1,పడిపోతుంది.,padipothundhi.
28,"00:03:35,979","00:03:37,039",speaker_3,ఇంతకీ ప్రసాద్ ఎవరు sir,inthakee prasaadh yevaru sir
29,"00:03:38,270","00:03:38,949",speaker_1,ఓ నువ్వు,o nuvvu
30,"00:03:39,000","00:03:39,909",speaker_1,కొత్తగా వచ్చావు కదా,koththagaa vachhaavu kadhaa
31,"00:03:40,659","00:03:41,310",speaker_1,మన శంకరాభరణ,mana shankaraabharana
32,"00:03:41,699","00:03:42,449",speaker_1,ప్రసాద్ గారు,prasaadh gaaru
33,"00:03:42,719","00:03:46,030",speaker_3,Chief security advisor of నితిన్ శర్మ twenty years of field experience,Chief security advisor of nithin sharma twenty years of field experience
34,"00:03:46,460","00:03:49,669",speaker_1,Intelligence bureau raw agent national security advisor what not,Intelligence bureau raw agent national security advisor what not
35,"00:03:49,800","00:03:50,539",speaker_1,he is an all rounder,he is an all rounder
36,"00:03:51,020","00:03:54,479",speaker_2,నితిన్ శర్మ గారే ఏరికోరి తెచ్చి chief security advisor గా పెట్టుకున్నారు,nithin sharma gaare yerikori thechhi chief security advisor gaa pettukunnaaru
37,"00:03:54,840","00:03:57,049",speaker_3,ఎలాంటి criminal నైనా ఉత్తికి పిండి ఆరేస్తాడు,yelaanti criminal nainaa uththiki pindi aaresthaadu
38,"00:04:14,450","00:04:15,039","speaker_1, speaker_3",అఖాయ్ क्या,akhaay क्या
39,"00:04:15,099","00:04:15,300",speaker_3,है,है
40,"00:04:15,960","00:04:18,459",speaker_1,నిన్న మీ బట్టలతో పాటు నా ఈ రెండు clips మీ దొ దొ,ninna mee battalatho paatu naa ee rendu clips mee dho dho
41,"00:04:20,009","00:04:20,839",speaker_1,తీసుకెళ్లిపోయారు ఇచ్చేయండి,theesukellipoyaaru ichheyandi
42,"00:04:22,819","00:04:25,650",speaker_3,ले लो तुम्हारा दो clip అందుకే నీ పెళ్ళాం నిన్ను విడిచి వెళ్ళిపోయింది,ले लो तुम्हारा दो clip andhuke nee pellaam ninnu vidichi vellipoyindhi
43,"00:04:26,160","00:04:27,459",speaker_1,क्या बात करते हो तुम है,क्या बात करते हो तुम है
44,"00:04:27,899","00:04:28,710",speaker_1,clip के పెళ్ళానికి,clip के pellaaniki
45,"00:04:29,000","00:04:30,010",speaker_1,क्या संबंध है,क्या संबंध है
46,"00:04:30,199","00:04:31,850",speaker_2,తప్పు చేసినవాడు అతని చేతికి దొరికితే,thappu chesinavaadu athani chethiki dhorikithe
47,"00:04:32,459","00:04:33,710",speaker_2,కోసి కారం పెడతాడు,cosy kaaram pedathaadu
48,"00:04:34,259","00:04:34,610",speaker_1,గుత్తొంకాయ,guththonkaaya
49,"00:04:34,800","00:04:36,010",speaker_1,కోసి ఉల్లి కారం దట్టించి,cosy ulli kaaram dhattinchi
50,"00:04:36,519","00:04:38,730",speaker_1,ఇలా నూనెలో వేయించి తింటే ఉంటది,ilaa noonelo veyinchi thinte untadhi
51,"00:04:39,160","00:04:39,510",speaker_1,ఉమ్మా,ummaa
52,"00:04:39,980","00:04:41,890",speaker_1,taste buds కి shower punch చేయించట్లే,taste buds ki shower punch cheyinchatle
53,"00:04:45,660","00:04:47,750",speaker_2,ఎంత పెద్ద crime నైనా తుడిచి పారేస్తాడు,yentha pedhdha crime nainaa thudichi paaresthaadu
54,"00:04:52,360","00:04:52,930",speaker_4,ఓరే ప్రసాదు,ore prasaadhu
55,"00:04:53,339","00:04:53,689",speaker_1,మా,maa
56,"00:04:53,930","00:04:55,070",speaker_4,అన్ని మూలలు వదలకుండా,anni moolalu vadhalakundaa
57,"00:04:55,259","00:04:55,610",speaker_4,తుడు,thudu
58,"00:04:59,349","00:04:59,839","speaker_1, speaker_3",అలాగేనమ్మా And,alaagenammaa And
59,"00:04:59,899","00:05:00,470",speaker_3,most importantly,most importantly
60,"00:05:00,699","00:05:02,560",speaker_3,he is cutthroat and stone hearted,he is cutthroat and stone hearted
61,"00:05:02,660","00:05:04,620",speaker_2,జాలి దయ కరుణ ఏవీ ఉండవు,jaali dhaya karuna yevee undavu
62,"00:05:04,699","00:05:06,450",speaker_1,అసలు కన్నీళ్ళు ఏంటో ఏంటో కూడా ఆ కళ్ళకి తెలియవా,asalu kanneellu yento yento koodaa aa kallaki theliyavaa
63,"00:05:06,660","00:05:07,740",speaker_2,నా జీవితం తో ఆడుకున్నది చాలు,naa jeevitham tho aadukunnadhi chaalu
64,"00:05:08,279","00:05:09,279",speaker_2,సౌమ్య నన్ను ఇంక బాధ పెట్టకు,saumya nannu inka baadha pettaku
65,"00:05:09,699","00:05:10,250",speaker_2,divorce ఇచ్చావు,divorce ichhaavu
66,"00:05:10,920","00:05:11,790",speaker_2,ఇంకా నన్ను సాధించాలా,inkaa nannu saadhinchaalaa
67,"00:05:12,560","00:05:13,129",speaker_2,చెప్పు సౌమ్య,cheppu saumya
68,"00:05:13,379","00:05:14,360",speaker_2,నన్ను సాధిస్తూనే ఉంటావా,nannu saadhisthoone untaavaa
69,"00:05:15,849","00:05:16,490",speaker_3,సాధిస్తాను ఇంకా,saadhisthaanu inkaa
70,"00:05:16,540","00:05:16,890",speaker_3,సాధిస్తాను,saadhisthaanu
71,"00:05:17,420","00:05:18,790",speaker_3,నిన్ను వదల్ను ప్రతిరోజూ,ninnu vadhalnu prathirojoo
72,"00:05:18,980","00:05:20,470",speaker_3,నువ్వు కుళ్ళి కుళ్ళి ఏడ్చేలా చేస్తా,nuvvu kulli kulli yedchelaa chesthaa
73,"00:05:20,819","00:05:21,379",speaker_3,చూస్తూ ఉండు,choosthoo undu
74,"00:05:21,540","00:05:21,890",speaker_2,వదలకపోతే,vadhalakapothe
75,"00:05:22,240","00:05:23,079",speaker_2,నేను చూస్తూ ఊరుకోను,nenu choosthoo oorukonu
76,"00:05:23,180","00:05:23,530",speaker_3,హా,haa
77,"00:05:23,720","00:05:24,070",speaker_3,విడాకులిచ్చిన,vidaakulichhina
78,"00:05:24,300","00:05:27,030",speaker_3,మొగుడు ఏం చేస్తాడు మహా అయితే మేడ మీద బట్టలు ఆరేస్తాడు,mogudu yem chesthaadu mahaa ayithe meda meedha battalu aaresthaadu
79,"00:05:27,980","00:05:29,430",speaker_3,ఇల్లు ఊడుస్తాడు వంట చేస్తాడు,illu oodusthaadu vanta chesthaadu
80,"00:05:30,420","00:05:31,970",speaker_3,సోఫా లో తాపీగా తల్లితో కూర్చొని,sofa lo thaapeegaa thallitho koorchoni
81,"00:05:32,399","00:05:32,750",speaker_3,ఏడుస్తూ,yedusthoo
82,"00:05:32,920","00:05:33,639",speaker_3,serial చూస్తాడు,serial choosthaadu
83,"00:05:36,459","00:05:37,090",speaker_4,off చేసావెంట్రా,off chesaaventraa
84,"00:05:37,620","00:05:39,970",speaker_1,లేకపోతే ఏంటమ్మా మొత్తం elevation అన్నీ సౌమ్యకేనా,lekapothe yentammaa moththam elevation annee saumyakenaa
85,"00:05:40,639","00:05:41,350",speaker_1,కిరణ్ ని తొక్కేస్తున్నారు,kiran ni thokkesthunnaaru
86,"00:05:42,360","00:05:42,639",speaker_1,అన్నీ,annee
87,"00:05:43,649","00:05:44,279",speaker_1,నన్నన్నట్లుగానే ఉంది,nannannatlugaane undhi
88,"00:05:45,040","00:05:45,279",speaker_4,ఊ,oo
89,"00:05:46,029","00:05:46,800",speaker_1,విడాకులిచ్చిన మగాళ్ళు,vidaakulichhina magaallu
90,"00:05:47,139","00:05:49,210",speaker_1,మాకు కొన్ని మనోభావాలు ఉంటాయమ్మా అవి దెబ్బతింటాయి,maaku konni manobhaavaalu untaayammaa avi dhebbathintaayi
91,"00:05:49,779","00:05:50,129",speaker_1,ఆ,aa
92,"00:05:51,079","00:05:53,879",speaker_1,పాపం కిరణ్ ఇక ఈ serial నేను చస్తే చూడు నువ్వు ఆ,paapam kiran ika ee serial nenu caste choodu nuvvu aa
93,"00:05:54,439","00:05:54,990",speaker_4,అలా అంటూనే,alaa antoone
94,"00:05:56,319","00:05:58,339",speaker_4,మూడు వందల ముప్పై నాలుగు episodes చూసావ్,moodu vandhala muppai naalugu episodes choosaav
95,"00:05:59,500","00:05:59,779",speaker_1,అమ్మా,ammaa
96,"00:06:00,399","00:06:02,300",speaker_1,మూడు వందల యాభై ఐదు ఊ,moodu vandhala yaabhai aidhu oo
97,"00:06:03,625","00:06:04,225","speaker_5, speaker_6",అమ్మా ఆ,ammaa aa
98,"00:06:04,276","00:06:05,406",speaker_5,Tablets Table మీద పెట్టాను,Tablets Table meedha pettaanu
99,"00:06:05,755","00:06:06,786",speaker_5,Kitchen లో curry ఉంది,Kitchen lo curry undhi
100,"00:06:07,055","00:06:07,706",speaker_5,Time కి తిని,Time ki thini
101,"00:06:07,915","00:06:08,475",speaker_5,మందులు వేసుకో.,mandhulu vesuko.
102,"00:06:08,636","00:06:09,105",speaker_5,నేను వస్తా.,nenu vasthaa.
103,"00:06:09,295","00:06:09,646",speaker_6,ప్రసాదు,prasaadhu
104,"00:06:11,196","00:06:11,546",speaker_5,ఏంటమ్మా?,yentammaa?
105,"00:06:13,776","00:06:14,136",speaker_6,కూర్చో,koorcho
106,"00:06:14,375","00:06:14,755",speaker_5,చెప్పమ్మా,cheppammaa
107,"00:06:15,675","00:06:16,526",speaker_6,ఇలా బయట సరదాగా,ilaa bayata saradhaagaa
108,"00:06:16,696","00:06:17,255",speaker_6,ఉండే నువ్వు,unde nuvvu
109,"00:06:18,156","00:06:19,066",speaker_6,లోపల కూడా సంతోషంగా,lopala koodaa santhoshangaa
110,"00:06:19,315","00:06:19,636",speaker_6,ఉంటే,unte
111,"00:06:20,875","00:06:21,696",speaker_6,చూడాలని ఉంది రా,choodaalani undhi raa
112,"00:06:25,076","00:06:25,355",speaker_5,అమ్మా!,ammaa!
113,"00:06:26,975","00:06:28,096",speaker_5,నువ్వు నాకు ఓ మాట ఇస్తావా?,nuvvu naaku o maata isthaavaa?
114,"00:06:28,735","00:06:29,295",speaker_6,ఏంటి నాన్నా?,yenti naannaa?
