index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:04,919","00:00:05,269",speaker_0,పొగత్రాగడం,pogathraagadam
2,"00:00:05,559","00:00:07,229",speaker_0,cancerకు కారకం పైగా ప్రాణాంతకం,cancerku kaarakam paigaa praanaanthakam
3,"00:00:07,980","00:00:08,669",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
4,"00:00:08,820","00:00:09,169",speaker_0,ఆరోగ్యానికి,aarogyaaniki
5,"00:00:09,400","00:00:09,750",speaker_0,హానికరం,haanikaram
6,"00:00:10,140","00:00:11,259",speaker_0,Smoking causes cancer.,Smoking causes cancer.
7,"00:00:11,699","00:00:12,339",speaker_0,Smoking kills.,Smoking kills.
8,"00:00:12,839","00:00:14,720",speaker_0,Alcohol consumption is injurious to health.,Alcohol consumption is injurious to health.
9,"00:03:31,080","00:03:31,360",speaker_2,కాక,kaaka
10,"00:03:32,219","00:03:32,959",speaker_2,చోటు భాయ్ ఎటుండి?,chotu bhaay yetundi?
11,"00:03:33,500","00:03:34,800",speaker_0,చోటు భాయ్ తో నీకేం పనిరా?,chotu bhaay tho neekem paniraa?
12,"00:03:34,860","00:03:35,870",speaker_2,సరే చెప్పరా అదే పనుంది.,sare chepparaa adhe panundhi.
13,"00:03:36,400","00:03:37,849",speaker_0,నీకేం పనిరా చోటు భాయ్ తో,neekem paniraa chotu bhaay tho
14,"00:03:38,020","00:03:38,530",speaker_2,అరెన్నా సరే పనుంది.,arennaa sare panundhi.
15,"00:03:38,580","00:03:39,379",speaker_0,లా బస్ లో ఉన్నాడు పో,laa bus lo unnaadu po
16,"00:03:39,430","00:03:40,229",speaker_2,లా బస్ లో ఉన్నాడు,laa bus lo unnaadu
17,"00:03:42,120","00:03:43,489",speaker_2,బొక్కలు చురచురగా లేపేశారు ఆ కొడుకులకి,bokkalu churachuragaa lepeshaaru aa kodukulaki
18,"00:03:44,000","00:03:44,719",speaker_2,నన్ను కొడతారు కదా,nannu kodathaaru kadhaa
19,"00:03:46,159","00:03:46,889",speaker_0,మనగాని పీసేమేంది?,managaani peesemendhi?
20,"00:03:48,080","00:03:48,430",speaker_2,వాళ్ళంటి,vaallanti
21,"00:03:48,960","00:03:50,960",speaker_2,రెండు సంవత్సరం దాకా బెల్ రాణి ఆన్కి,rendu samvathsaram dhaakaa bell raani aanki
22,"00:03:51,439","00:03:52,169",speaker_2,బొక్క లేపిస్తాంకి,bokka lepisthaanki
