index,start_time,end_time,original_telugu,transliteration,Actors
1,"00:00:10,000","00:00:10,349",గోవిందా,govindhaa,#Vatsala Rajagopal
2,"00:00:45,079","00:00:45,649",మన కస్తూరికి,mana kasthooriki,#Vatsala Rajagopal
3,"00:00:46,219","00:00:49,789",మగ పిల్లాడు పుట్టాడు రా ఎంత మంచి వార్త చెప్పావు అమ్మ ఆ పెరుగుమానుల,maga pillaadu puttaadu raa yentha manchi vaartha cheppaavu amma aa perugumaanula,#Vatsala Rajagopal #Tanikella Bharani
4,"00:00:49,840","00:00:50,190",దయవల్ల,dhayavalla,#Tanikella Bharani
5,"00:00:50,560","00:00:51,890",ఈ మూడో కాన్పు అయినా నిలబడింది.,ee moodo kaanpu ayinaa nilabadindhi.,#Tanikella Bharani
6,"00:00:52,179","00:00:52,770",అవును రా,avunu raa,#Vatsala Rajagopal
7,"00:00:52,979","00:00:54,170",నువ్వు పంచాంగం అది చూసుకుని,nuvvu panchaangam adhi choosukuni,
8,"00:00:54,600","00:00:56,990",నీ కొడుకును చూడటానికి రా ఉంటా మరి సరేనే,nee kodukunu choodataaniki raa untaa mari sarene,#Vatsala Rajagopal
9,"00:00:57,399","00:00:57,659",అమ్మ,amma,
10,"00:00:58,899","00:01:00,130",కస్తూరి తాలూకు మీరేనా,kasthoori thaalooku meerenaa,
11,"00:01:00,679","00:01:01,030",అవునమ్మా,avunammaa,
12,"00:01:01,520","00:01:02,190",తను నా కోడలే,thanu naa kodale,#Vatsala Rajagopal
13,"00:01:02,740","00:01:03,710",తనకు పుట్టిన బిడ్డ,thanaku puttina bidda,
14,"00:01:03,899","00:01:04,250",చనిపోయాడమ్మా,chanipoyaadammaa,
15,"00:01:05,260","00:01:06,840",ఏంటమ్మా నువ్వు చెప్పేది అవును,yentammaa nuvvu cheppedhi avunu,#Vatsala Rajagopal
16,"00:01:07,480","00:01:08,209",బాబు శ్వాసకోశాలు,baabu shvaasakoshaalu,
17,"00:01:08,659","00:01:09,009",మూసుకుపోయి,moosukupoyi,
18,"00:01:14,799","00:01:15,149",దేవుడా,dhevudaa,#Vatsala Rajagopal
19,"00:01:16,480","00:01:17,579",ఇది మూడో ప్రసవం,idhi moodo prasavam,
20,"00:01:18,340","00:01:19,049",నిజం తెలిస్తే,nijam thelisthe,
21,"00:01:19,219","00:01:20,519",నా కోడలు పిచ్చిది అయిపోతుంది.,naa kodalu pichhidhi ayipothundhi.,
22,"00:01:21,120","00:01:21,849",ఊరుకోండి అమ్మ,oorukondi amma,
23,"00:01:22,019","00:01:23,229",పోయిన వాళ్ళని తిరిగి తీసుకురాలేం,poyina vaallani thirigi theesukuraalem,
24,"00:01:24,390","00:01:24,959",కానీ మీరు,kaanee meeru,
25,"00:01:25,019","00:01:25,369",సరేనంటే,sarenante,
26,"00:01:26,120","00:01:27,019",మరొక మార్గం ఉంది,maroka maargam undhi,
27,"00:01:27,939","00:01:29,109",పక్క వాడిలో ఒక ఆవిడకి,pakka vaadilo oka aavidaki,
28,"00:01:29,400","00:01:30,849",ఇందాకే ఇద్దరు మగ పిల్లలు పుట్టారు,indhaake idhdharu maga pillalu puttaaru,
29,"00:01:33,579","00:01:34,669",చాలా కష్టాల్లో ఉన్నట్టుంది,chaalaa kashtaallo unnattundhi,
30,"00:01:35,159","00:01:37,089",ఆవిడకు తెలియకుండా ఒక బిడ్డను మార్చి మీరు పెంచుకుంటే,aavidaku theliyakundaa oka biddanu maarchi meeru penchukunte,
31,"00:01:37,560","00:01:38,769",అప్పుడు ఆవిడ కష్టము తగ్గుతుంది,appudu aavida kashtamu thagguthundhi,
32,"00:01:39,319","00:01:40,709",మీ కోడలు ఆనందంగా ఉంటుంది,mee kodalu aanandhangaa untundhi,
33,"00:01:40,980","00:01:41,329",ఏమంటారు.,yemantaaru.,
34,"00:01:41,760","00:01:42,309",ఆ భగవంతుడు,aa bhagavanthudu,
35,"00:01:43,359","00:01:43,709",అర్ధాంతరంగా,ardhaantharangaa,
36,"00:01:44,200","00:01:44,829",కొన్ని తీసుకెళ్ళిపోతే,konni theesukellipothe,
37,"00:01:45,799","00:01:46,149",అడక్కుండానే,adakkundaane,
38,"00:01:46,640","00:01:46,989",కొన్నిస్తూ,konnisthoo,
39,"00:01:47,180","00:01:47,579",ఉంటాడు,untaadu,
40,"00:01:48,459","00:01:48,969",ఆ పిల్లాడ్ని,aa pillaadni,
41,"00:01:49,799","00:01:50,549",స్వామి ప్రసాదంలా,svaami prasaadhamlaa,
42,"00:01:51,420","00:01:51,769",భావిస్తాం,bhaavisthaam,
