index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,మనసెల్లా,manasellaa
2,"00:01:50,599","00:01:50,949",speaker_0,మాకోలో,maakolo
3,"00:01:51,599","00:01:52,269",speaker_0,నీ పొట్ట,nee potta
4,"00:01:52,540","00:01:52,890",speaker_0,పూకోలో,pookolo
5,"00:01:53,560","00:01:53,909",speaker_0,మలదన్నీ,maladhannee
6,"00:01:54,540","00:01:54,890",speaker_0,పట్టాలూ,pattaaloo
7,"00:01:55,500","00:01:55,849",speaker_0,అలియాదమ్మా!,aliyaadhammaa!
8,"00:01:58,270","00:01:59,500",speaker_0,నాళెల్లా ఎంగూడ,naalellaa yengooda
9,"00:01:59,680","00:02:00,309",speaker_0,నీ పేసి,nee pesi
10,"00:02:00,500","00:02:00,849",speaker_0,చిరిచాలే!,chirichaale!
11,"00:02:01,640","00:02:03,329",speaker_0,అది పోల సుఖ ఏదుం,adhi pola sukha yedhum
12,"00:02:03,579","00:02:03,929",speaker_0,కిడయాదమ్మా!,kidayaadhammaa!
13,"00:02:05,760","00:02:06,109",speaker_0,కన్నాడియో,kannaadiyo
14,"00:02:07,819","00:02:08,449",speaker_0,ఓ మోగత్తే!,o mogaththe!
15,"00:02:09,819","00:02:10,169",speaker_0,కన్నాడియా,kannaadiyaa
16,"00:02:11,780","00:02:12,129",speaker_0,పాకు,paaku
17,"00:02:12,539","00:02:12,889",speaker_0,కన్ను!,kannu!
18,"00:02:13,819","00:02:14,469",speaker_0,ఏం పాట్టు,yem paattu
19,"00:02:14,780","00:02:15,129",speaker_0,సొల్లాదద,sollaadhadha
20,"00:02:15,800","00:02:16,150",speaker_0,తెండ్రల్,thendral
21,"00:02:16,460","00:02:16,810",speaker_0,సొల్లు!,sollu!
22,"00:02:17,580","00:02:18,210",speaker_0,ఏం ఉసురోడ,yem usuroda
23,"00:02:18,900","00:02:19,509",speaker_0,ఓం పేచి,om pechi
24,"00:02:19,840","00:02:20,189",speaker_0,ఒలియా,oliyaa
25,"00:02:20,520","00:02:20,870",speaker_0,మిన్ను!,minnu!
26,"00:02:22,390","00:02:23,639",speaker_0,సెవ్వంది పూవుక్కూం,sevvandhi poovukkoom
27,"00:02:23,759","00:02:24,109",speaker_0,తెన్పాండి,thenpaandi
28,"00:02:24,740","00:02:25,090",speaker_0,పాట్టుక్కూం,paattukkoom
29,"00:02:25,719","00:02:26,370",speaker_0,ఏం పాట్టు,yem paattu
30,"00:02:26,699","00:02:27,120",speaker_0,నా!,naa!
31,"00:02:28,930","00:02:29,939",speaker_0,సందోసందాం! ఏం,sandhosandhaam! yem
32,"00:02:30,020","00:02:30,370",speaker_0,మామం,maamam
33,"00:02:30,580","00:02:30,930",speaker_0,పొన్నుక్కు,ponnukku
34,"00:02:31,560","00:02:31,909",speaker_0,సింగార,singaara
35,"00:02:32,479","00:02:32,829",speaker_0,కన్నుక్కు!,kannukku!
36,"00:02:33,479","00:02:34,489",speaker_0,"కూ, కూల పాడ్రా!","koo, koola paadraa!"
37,"00:02:34,979","00:02:35,710",speaker_1,గుండు గుండే!,gundu gunde!
38,"00:02:36,539","00:02:38,009",speaker_1,గుండు పెన్నై! కూపీడుదే!,gundu pennai! koopeedudhe!
39,"00:02:39,300","00:02:39,989",speaker_1,రెండు కన్నే!,rendu kanne!
