index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,160","00:00:05,509",speaker_0,మద్యపానం,madhyapaanam
2,"00:00:05,879","00:00:06,229",speaker_0,ధూమపానం,dhoomapaanam
3,"00:00:06,580","00:00:06,929",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:07,080","00:00:07,429",speaker_0,హానికరం,haanikaram
5,"00:00:07,960","00:00:09,199",speaker_0,మరియు cancer కు కారకం.,mariyu cancer ku kaarakam.
6,"00:00:09,699","00:00:11,349",speaker_0,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
7,"00:00:11,619","00:00:13,820",speaker_0,are injurious to health it causes cancer.,are injurious to health it causes cancer.
8,"00:00:32,509","00:00:35,000",speaker_1,మమ్ము కాచినవాడు,mammu kaachinavaadu
9,"00:00:35,949","00:00:37,039",speaker_1,మా మనసు,maa manasu
10,"00:00:37,100","00:00:37,450",speaker_1,దోచినవాడు,dhochinavaadu
11,"00:00:45,750","00:00:46,859",speaker_1,మంగళకారుడు మా,mangalakaarudu maa
12,"00:00:47,859","00:00:48,210",speaker_1,శ్రీనివాసుడు,shreenivaasudu
13,"00:03:24,060","00:03:25,090",speaker_0,సవ్యంగా ఇల్లు పూర్తయిపోయి,savyangaa illu poorthayipoyi
14,"00:03:25,360","00:03:26,909",speaker_0,జల్దీ ఇంట్లల్లకి రావాలని ముక్కుకోండి.,jaldhee intlallaki raavaalani mukkukondi.
15,"00:03:42,099","00:03:42,629",speaker_1,ఏం శంకరన్న,yem shankaranna
16,"00:03:42,780","00:03:43,129",speaker_1,ఎట్లున్నావ్?,yetlunnaav?
17,"00:03:43,479","00:03:44,030",speaker_0,ఆ బాన్నాయ్,aa baannaay
18,"00:03:45,319","00:03:45,989",speaker_2,అబ్బాయి మంచోడు,abbaayi manchodu
19,"00:03:46,379","00:03:48,419",speaker_2,ఐదంకెళ్ళ జీతం చాలా మంచి సంబంధం అండి.,aidhankella jeetham chaalaa manchi sambandham andi.
20,"00:03:48,639","00:03:49,939",speaker_3,మీకొకే అయితే నాకొకే నాన్న.,meekoke ayithe naakoke naanna.
21,"00:03:53,430","00:03:54,580",speaker_1,మగువా మగువా,maguvaa maguvaa
22,"00:03:54,919","00:03:55,269",speaker_1,లోకానికి,lokaaniki
23,"00:03:55,919","00:03:56,269",speaker_1,తెలుసా,thelusaa
24,"00:03:56,620","00:03:57,289",speaker_1,నీ విలువ,nee viluva
25,"00:04:01,409","00:04:02,530",speaker_1,మగువా మగువా,maguvaa maguvaa
26,"00:04:02,580","00:04:03,269",speaker_1,నీ సహనానికి,nee sahanaaniki
27,"00:04:03,900","00:04:04,250",speaker_1,సరిహద్దులు,sarihadhdhulu
28,"00:04:04,900","00:04:05,250",speaker_1,కలవా,kalavaa
