index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:10,939","00:00:13,730",speaker_0,పొగ తాగుట మరియు మద్యం సేవించుట మీ ఆరోగ్యానికి,poga thaaguta mariyu madhyam sevinchuta mee aarogyaaniki
2,"00:00:13,960","00:00:16,410",speaker_0,హానికరం. దీని వల్ల మీ sperm count కూడా తగ్గుతుంది.,haanikaram. dheeni valla mee sperm count koodaa thagguthundhi.
3,"00:00:16,719","00:00:17,160",speaker_0,జాగ్రత్త!,jaagraththa!
4,"00:01:34,350","00:01:35,900",speaker_1,సంతాన ప్రాప్తిరస్తు,santhaana praapthirasthu
5,"00:01:37,650","00:01:39,459",speaker_1,శుభమస్తు అవిఘ్నమస్తు.,shubhamasthu avighnamasthu.
6,"00:01:41,250","00:01:42,900",speaker_1,సంతాన ప్రాప్తిరస్తు,santhaana praapthirasthu
7,"00:01:43,180","00:01:43,530",speaker_1,ఆశీర్వదిస్తు,aasheervadhisthu
8,"00:01:45,060","00:01:45,849",speaker_1,All the best.,All the best.
9,"00:01:54,480","00:01:56,549",speaker_1,నెత్తిన జలకర బెల్లం పెట్టు మంగళసూత్రం,neththina jalakara bellam pettu mangalasoothram
10,"00:01:57,040","00:02:00,849",speaker_1,మెడలోన కట్టు లక్షలు పోసి దావత్ పెట్టు కొత్తగా వేరే కాపురమేట్టు,medalona kattu lakshalu posse dhaavath pettu koththagaa vere kaapuramettu
11,"00:02:01,400","00:02:01,750",speaker_1,నీదేమో,needhemo
12,"00:02:02,180","00:02:04,949",speaker_1,night shift నీ wife ది morning shift weekend,night shift nee wife dhi morning shift weekend
13,"00:02:05,319","00:02:08,530",speaker_1,లో romance కి planning చేసి లెక్కలు పెట్టు సంతాన,lo romance ki planning chesi lekkalu pettu santhaana
14,"00:02:09,099","00:02:09,449",speaker_1,ప్రాప్తిరస్తు,praapthirasthu
15,"00:02:10,840","00:02:11,189",speaker_1,శుభమస్తు,shubhamasthu
16,"00:02:12,379","00:02:12,729",speaker_1,అవిఘ్నమస్తు.,avighnamasthu.
17,"00:02:15,510","00:02:17,180",speaker_1,సంతాన ప్రాప్తిరస్తు,santhaana praapthirasthu
18,"00:02:17,460","00:02:17,810",speaker_1,ఆశీర్వదిస్తు,aasheervadhisthu
19,"00:02:19,400","00:02:20,280",speaker_1,All the best.,All the best.
