index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:35,000","00:00:35,350",speaker_0,ఈ,ee
2,"00:01:46,280","00:01:47,349",speaker_0,ఇడ్లీ కొట్టు అనే చిత్రం,idlee kottu ane chithram
3,"00:01:47,879","00:01:48,449",speaker_0,నేను బాల్యంలో,nenu baalyamlo
4,"00:01:48,599","00:01:49,869",speaker_0,వేసవి సెలవులకు మా స్వగ్రామానికి,vesavi selavulaku maa svagraamaaniki
5,"00:01:50,079","00:01:50,429",speaker_0,వెళ్ళినప్పుడు,vellinappudu
6,"00:01:51,019","00:01:52,790",speaker_0,నాపై ప్రభావం చూపిన కొందరి పాత్రలు,naapai prabhaavam choopina kondhari paathralu
7,"00:01:53,319","00:01:54,069",speaker_0,మరియు ఓ సాధారణ,mariyu o saadhaarana
8,"00:01:54,219","00:01:55,629",speaker_0,ఇడ్లీ కొట్టిని ఆధారంగా చేసుకొని,idlee kottini aadhaarangaa chesukoni
9,"00:01:56,140","00:01:56,489",speaker_0,సృజించిన,srujinchina
10,"00:01:56,700","00:01:57,049",speaker_0,కథ.,katha.
11,"00:02:06,459","00:02:07,239",speaker_0,ఎక్కడో పుడతావ్,yekkado pudathaav
12,"00:02:07,739","00:02:08,430",speaker_0,ఏదో ఆశపడతావ్,yedho aashapadathaav
13,"00:02:09,020","00:02:10,389",speaker_0,రెక్కలు రాగానే టక్కున ఎగిరిపోతావ్.,rekkalu raagaane takkuna yegiripothaav.
14,"00:02:20,520","00:02:21,590",speaker_0,ఇది నేను పుట్టిన ఊరు.,idhi nenu puttina ooru.
15,"00:02:27,759","00:02:29,310",speaker_0,ఇది మా నాన్నగారి ఇడ్లీ కొట్టు,idhi maa naannagaari idlee kottu
16,"00:02:31,180","00:02:32,139",speaker_0,రెండు చెక్క బెంచీలు,rendu chekka bencheelu
17,"00:02:33,520","00:02:35,030",speaker_0,మట్టితో చేసిన కట్టెల పొయ్యి,mattitho chesina kattela poyyi
18,"00:02:35,840","00:02:38,740",speaker_0,తిన్న తర్వాత ఆకులను విసరడానికి వీలుగా గోడకు చిన్న కన్ను,thinna tharvaatha aakulanu visaradaaniki veelugaa godaku chinna kannu
19,"00:02:39,520","00:02:40,569",speaker_0,ఇత్తడి బిందెలు రుబ్బురోళ్ళు,iththadi bindhelu rubburollu
20,"00:02:42,219","00:02:43,939",speaker_0,వీటికి కూడా ఒక పెద్ద చరిత్రే ఉంది.,veetiki koodaa oka pedhdha charithre undhi.
21,"00:02:48,219","00:02:49,159",speaker_1,లేవండి లేవండి,levandi levandi
22,"00:02:49,879","00:02:50,680",speaker_0,ఈయనే మా నాన్న,eeyane maa naanna
23,"00:02:51,400","00:02:51,750",speaker_0,శివకేశవుడు.,shivakeshavudu.
24,"00:02:54,330","00:02:55,250",speaker_0,వేకువనే ఆరింటికల్లా,vekuvane aarintikallaa
25,"00:02:55,300","00:02:56,250",speaker_0,ఇడ్లీలు సిద్ధం చేయాలంటే,idleelu sidhdham cheyaalante
26,"00:02:57,780","00:02:59,329",speaker_0,బ్రహ్మ ముహూర్తంలో లేవాలని చెప్పేవాడు.,brahma muhoorthamlo levaalani cheppevaadu.
27,"00:03:01,199","00:03:02,090",speaker_0,కొట్టుకు వెళ్లేట్టు కాదు,kottuku vellettu kaadhu
28,"00:03:03,509","00:03:04,169",speaker_0,దేవస్థానానికి వెళ్లేట్టు,dhevasthaanaaniki vellettu
29,"00:03:04,219","00:03:04,569",speaker_0,తయారవుతారు.,thayaaravuthaaru.
30,"00:03:08,680","00:03:09,099",speaker_2,నాన్న!,naanna!
31,"00:03:09,479","00:03:09,599",speaker_1,ఆ,aa
32,"00:03:11,379","00:03:11,800",speaker_1,మురళి,murali
33,"00:03:12,240","00:03:12,639",speaker_2,నాన్న!,naanna!
34,"00:03:12,870","00:03:12,969",speaker_1,ఆ,aa
35,"00:03:12,900","00:03:13,609",speaker_2,ఇవాళ సెలవేగా,ivaala selavegaa
36,"00:03:13,939","00:03:15,069",speaker_2,నీతో పాటు నేను రానా,neetho paatu nenu raanaa
37,"00:03:15,699","00:03:16,430",speaker_1,అలాగే నాన్న,alaage naanna
38,"00:03:17,599","00:03:18,530",speaker_0,ఊరు మొత్తం గాఢనిద్రలో,ooru moththam gaadanidhralo
39,"00:03:18,860","00:03:19,210",speaker_0,ఉంటే,unte
40,"00:03:19,979","00:03:20,689",speaker_0,కారు చీకట్లలో,kaaru cheekatlalo
41,"00:03:20,960","00:03:21,310",speaker_0,కాలభైరవుడిలా,kaalabhairavudilaa
42,"00:03:21,780","00:03:22,219",speaker_0,మా నాన్న,maa naanna
