index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,480","00:00:00,830",speaker_0,పొగత్రాగడం,pogathraagadam
2,"00:00:01,120","00:00:01,830",speaker_0,cancer కారకం,cancer kaarakam
3,"00:00:02,279","00:00:02,629",speaker_0,పొగత్రాగడం,pogathraagadam
4,"00:00:02,919","00:00:03,270",speaker_0,ప్రాణాంతకం,praanaanthakam
5,"00:00:03,759","00:00:04,750",speaker_0,Smoking causes cancer,Smoking causes cancer
6,"00:00:04,960","00:00:05,540",speaker_0,Smoking kills,Smoking kills
7,"00:00:05,960","00:00:07,169",speaker_0,మద్యపాన సేవనం ఆరోగ్యానికి,madhyapaana sevanam aarogyaaniki
8,"00:00:07,400","00:00:07,750",speaker_0,హానికరం,haanikaram
9,"00:00:08,220","00:00:09,759",speaker_0,Drinking alcohol is injurious to health,Drinking alcohol is injurious to health
10,"00:00:13,099","00:00:14,800",speaker_1,"విజ్ఞప్తి ఈ చిత్రం పూర్తిగా కల్పితం. ఏ వ్యక్తులు,","vignapthi ee chithram poorthigaa kalpitham. ye vyaktulu,"
11,"00:00:14,859","00:00:16,729",speaker_1,"సంఘటనలు, సంప్రదాయాలు, ప్రదేశాలతో పోలికలు యాదృచ్చికమే.","sanghatanalu, sampradhaayaalu, pradheshaalatho polikalu yaadhruchhikame."
12,"00:00:17,000","00:00:19,539",speaker_1,దైవ సంబంధాలు చరిత్ర సాంస్కృతిక అంశాలు కేవలం చిత్రకల్పన కోసం మాత్రమే,dhaiva sambandhaalu charithra saamskruthika amshaalu kevalam chithrakalpana kosam maathrame
13,"00:00:19,620","00:00:19,970",speaker_1,రూపుదిద్దుకున్నవి.,roopudhidhdhukunnavi.
14,"00:00:20,239","00:00:21,790",speaker_1,"ఏ వ్యక్తి, సమాజం లేదా విశ్వాసాన్ని అవమానపరచాలన్న","ye vyakti, samaajam ledhaa vishvaasaanni avamaanaparachaalanna"
15,"00:00:22,019","00:00:23,649",speaker_1,"ఉద్దేశం లేదు. ఈ చిత్రంలోని పాత్రలు నేపథ్యాలు,","udhdhesham ledhu. ee chithramloni paathralu nepathyaalu,"
16,"00:00:23,699","00:00:26,029",speaker_1,"సంఘటనలు, వాడిన పేర్లు అన్నీ కల్పితం. వాల్మీకి రామాయణంలో పేర్కొన్న","sanghatanalu, vaadina perlu annee kalpitham. vaalmeeki raamaayanamlo perkonna"
17,"00:00:26,079","00:00:28,490",speaker_1,సంఘటనలు ఈ చిత్రంలో కేవలం వినోదార్థం కోసం నాటకీయ రూపంలో చూపించబడ్డాయి.,sanghatanalu ee chithramlo kevalam vinodhaartham kosam naatakeeya roopamlo choopinchabaddaayi.
18,"00:01:32,550","00:01:33,370",speaker_0,ఇతిహాసం అంటే,ithihaasam ante
19,"00:01:33,420","00:01:35,089",speaker_0,ఈ విధంగా జరిగింది అని,ee vidhangaa jarigindhi ani
20,"00:01:35,400","00:01:37,809",speaker_0,అహం నుండి అణుబాంబు వరకు ప్రతి సమస్యకి,aham nundi anubaambu varaku prathi samasyaki
21,"00:01:38,159","00:01:38,509",speaker_0,పరిష్కారమున్న,parishkaaramunna
22,"00:01:39,030","00:01:39,799",speaker_0,అలాంటి ఇతిహాసాలు,alaanti ithihaasaalu
23,"00:01:40,859","00:01:41,530",speaker_0,మన రామాయణ,mana raamaayana
24,"00:01:41,799","00:01:42,149",speaker_0,మహాభారతాలు,mahaabhaarathaalu
25,"00:01:43,219","00:01:43,569",speaker_0,యుగాలుగా,yugaalugaa
26,"00:01:43,939","00:01:45,629",speaker_0,ప్రతి కథలో మనిషి ఎదుర్కోలేని,prathi kathalo manishi yedhurkoleni
27,"00:01:46,019","00:01:46,789",speaker_0,విపత్తు వచ్చినప్పుడు,vipaththu vachhinappudu
28,"00:01:47,120","00:01:47,669",speaker_0,ఆ ఇతిహాసాలు,aa ithihaasaalu
29,"00:01:49,410","00:01:50,719",speaker_0,"జ్ఞానంగానూ, సలహాగానూ,","gnaanangaanoo, salahaagaanoo,"
30,"00:01:50,840","00:01:51,189",speaker_0,"వ్యక్తిగానూ,","vyaktigaanoo,"
31,"00:01:51,760","00:01:52,109",speaker_0,వైద్యంగానూ,vaidhyangaanoo
32,"00:01:52,599","00:01:53,289",speaker_0,వచ్చి పరిష్కారమయ్యాయి.,vachhi parishkaaramayyaayi.
33,"00:02:19,740","00:02:21,599",speaker_0,రెండు వందల ముప్పై రెండు BC,rendu vandhala muppai rendu BC
34,"00:02:22,730","00:02:23,449",speaker_0,లక్షల మందిని,lakshala mandhini
35,"00:02:23,500","00:02:24,840",speaker_0,చంపి కళింగుని గెలిచిన,champi kalinguni gelichina
36,"00:02:25,890","00:02:26,879",speaker_0,సామ్రాట్ అశోకుడిని,saamraat ashokudini
37,"00:02:27,759","00:02:28,509",speaker_0,ఒక్క ఆలోచన,okka aalochana
38,"00:02:28,680","00:02:29,030",speaker_0,ఓడించింది.,odinchindhi.
39,"00:02:32,759","00:02:33,159",speaker_0,అదే,adhe
40,"00:02:33,780","00:02:34,129",speaker_0,తశ్చాత్తాపం.,thashchaaththaapam.
41,"00:02:37,979","00:02:38,750",speaker_0,తాను సాధించింది,thaanu saadhinchindhi
42,"00:02:39,139","00:02:39,489",speaker_0,గెలుపా?,gelupaa?
43,"00:02:40,080","00:02:40,430",speaker_0,ఓటమా?,otamaa?
44,"00:02:40,740","00:02:41,919",speaker_0,అర్థం కాలేదు అంట.,artham kaaledhu anta.
45,"00:02:57,919","00:02:58,979",speaker_0,ఆ ఆలోచన నుండి,aa aalochana nundi
46,"00:02:59,680","00:03:01,169",speaker_0,ఒక నిర్ణయం వీలుకు చూసింది.,oka nirnayam veeluku choosindhi.
47,"00:03:06,680","00:03:07,289",speaker_0,తను రహస్యంగా,thanu rahasyangaa
48,"00:03:07,639","00:03:07,989",speaker_0,సంపాదించిన,sampaadhinchina
49,"00:03:08,379","00:03:09,800",speaker_0,ఈ దైవ శక్తి వల్లే,ee dhaiva shakti valle
50,"00:03:10,740","00:03:11,870",speaker_0,ఇంత నష్టం జరిగిందని,intha nashtam jarigindhani
