index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,ధూమపానం,dhoomapaanam
2,"00:00:12,400","00:00:12,750",speaker_0,మద్యపానం,madhyapaanam
3,"00:00:13,000","00:00:13,349",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:13,560","00:00:15,560",speaker_0,హానికరం మరియు cancer కి కారకం.,haanikaram mariyu cancer ki kaarakam.
5,"00:00:15,960","00:00:19,000",speaker_0,Smoking and drinking are injurious to health it causes cancer.,Smoking and drinking are injurious to health it causes cancer.
6,"00:01:16,680","00:01:17,609",speaker_1,రేయ్ దొరకపోతామేమో,rey dhorakapothaamemo
7,"00:01:17,930","00:01:18,060",speaker_1,అని,ani
8,"00:01:18,579","00:01:19,099",speaker_1,భయంగా ఉంది రా,bhayangaa undhi raa
9,"00:01:20,280","00:01:21,049",speaker_1,నాక్కుడ రా,naakkuda raa
10,"00:01:21,340","00:01:22,229",speaker_1,తప్పు చేసాం రా,thappu chesaam raa
11,"00:01:22,909","00:01:23,009",speaker_1,రేయ్,rey
12,"00:01:23,620","00:01:24,449",speaker_1,జరిగింది ఏది జరిగిపోయింది,jarigindhi yedhi jarigipoyindhi
13,"00:01:25,099","00:01:25,500",speaker_1,వదిలేయండి,vadhileyandi
14,"00:01:26,319","00:01:26,669",speaker_1,ఎవరికైనా,yevarikainaa
15,"00:01:27,859","00:01:28,969",speaker_1,ఈ విషయం తెలిసి ఇక్కడి దాకా వచ్చేస్తే,ee vishayam thelisi ikkadi dhaakaa vachhesthe
16,"00:02:18,620","00:02:18,969",speaker_1,మామా,maamaa
17,"00:02:26,250","00:02:26,810",speaker_1,రేయ్ దాని,rey dhaani
18,"00:02:26,860","00:02:28,199",speaker_1,గురించి వదిలేయండి పని చూడండి,gurinchi vadhileyandi pani choodandi
19,"00:02:28,740","00:02:29,090",speaker_1,ఏయ్,yey
20,"00:02:29,280","00:02:29,579",speaker_1,కానీ,kaanee
21,"00:02:41,010","00:02:41,759",speaker_1,ఎవరైనా ఉంటార్రా,yevarainaa untaarraa
22,"00:02:42,099","00:02:42,759",speaker_1,ఎవరిది రా ఏడుపు,yevaridhi raa yedupu
23,"00:02:44,580","00:02:45,069",speaker_1,నేను వెళ్లి,nenu velli
24,"00:02:45,280","00:02:45,699",speaker_1,చూసి వస్తాను,choosi vasthaanu
25,"00:02:46,580","00:02:46,680",speaker_1,రా,raa
26,"00:02:47,520","00:02:47,989",speaker_1,రేయ్ వాలి,rey vaali
27,"00:02:48,259","00:02:50,609",speaker_1,ఒక్కడివి వద్దు మామ మేము కూడా వస్తాము. అవును రా,okkadivi vadhdhu mama memu koodaa vasthaamu. avunu raa
28,"00:02:50,840","00:02:51,479",speaker_1,అందరం కలిసి వెళ్దాం.,andharam kalisi veldhaam.
29,"00:02:52,219","00:02:52,680",speaker_1,నేను రాను రా,nenu raanu raa
30,"00:02:53,360","00:02:53,860",speaker_1,మీరు వెళ్ళండి.,meeru vellandi.
31,"00:02:54,280","00:02:55,219",speaker_1,రేయ్ సరే పదండి.,rey sare padhandi.
32,"00:03:01,400","00:03:01,599",speaker_1,ఏయ్,yey
33,"00:03:46,699","00:03:47,049",speaker_1,ఎవరాది,yevaraadhi
34,"00:03:57,289","00:03:57,939",speaker_1,వేణు వేణు,venu venu
